iter	Passed	Remaining
0	3	310
1	5	252
2	7	227
3	8	207
4	10	193
5	11	184
6	13	180
7	15	174
8	16	167
9	17	160
10	19	154
11	20	149
12	21	143
13	22	139
14	23	134
15	24	130
16	26	127
17	27	125
18	28	122
19	29	119
20	30	116
21	32	113
22	33	111
23	34	108
24	35	106
25	36	104
26	37	101
27	38	99
28	40	98
29	41	96
30	42	94
31	43	92
32	44	90
33	45	89
34	47	87
35	48	85
36	49	83
37	50	82
38	51	80
39	52	78
40	53	77
41	54	75
42	55	73
43	56	72
44	57	70
45	58	69
46	60	67
47	61	66
48	62	64
49	63	63
50	64	61
51	65	60
52	66	59
53	67	57
54	68	55
55	69	54
56	70	53
57	71	52
58	73	50
59	74	49
60	75	48
61	76	46
62	77	45
63	78	44
64	79	42
65	80	41
66	81	40
67	83	39
68	84	37
69	85	36
70	86	35
71	87	34
72	89	32
73	90	31
74	91	30
75	92	29
76	93	27
77	94	26
78	95	25
79	96	24
80	97	22
81	99	21
82	100	20
83	101	19
84	102	18
85	103	16
86	104	15
87	106	14
88	107	13
89	108	12
90	109	10
91	110	9
92	111	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
